metric_id,action_id,metric_type,baseline_value,target_value,actual_value,improvement_pct,measurement_date,verified_by,created_date
1,35,Cycle Time,0.0531,0.0266,0.0228,57.1,2024-03-18,Brandon Wiley,2024-07-07 20:30:56
2,5,Cost Reduction,0.0802,0.0401,0.0684,14.7,2024-05-04,Ronald Turner,2024-09-15 16:39:45
3,34,MTBF,0.0561,0.028,0.0423,24.6,2024-05-26,Carrie Brooks,2024-01-08 10:17:39
4,88,MTBF,0.032,0.016,0.0251,21.6,2024-10-22,Dale Davis,2024-10-29 18:55:32
5,91,Defect Rate,0.0614,0.0307,0.0353,42.5,2024-02-05,Rebecca Stein,2024-07-26 15:12:33
6,88,Cost Reduction,0.0931,0.0466,0.0822,11.7,2024-10-20,Gerald Webb,2024-10-24 20:36:53
7,69,Cycle Time,0.0793,0.0396,0.0473,40.4,2024-07-17,Emily Murphy,2024-12-31 01:10:00
8,64,MTBF,0.0894,0.0447,0.0646,27.7,2024-09-22,Annette Hendrix,2024-01-22 20:38:39
9,69,MTBF,0.059,0.0295,0.0418,29.2,2024-11-18,Wendy Harris,2024-01-09 18:11:59
10,66,Cycle Time,0.0727,0.0364,0.0536,26.3,2024-12-24,James Hancock,2024-09-23 02:33:38
11,97,Cycle Time,0.0904,0.0452,0.033,63.5,2024-07-25,Eric Williams,2024-05-23 00:11:55
12,79,Yield,0.0606,0.0303,0.0251,58.6,2024-12-14,Shelby Cook,2024-12-27 13:46:49
13,37,Yield,0.0409,0.0204,0.022,46.2,2024-06-13,Ashley Miranda,2024-12-19 07:02:12
14,19,Yield,0.0782,0.0391,0.0629,19.6,2024-01-12,Alison Blake,2024-06-05 23:37:03
15,67,Yield,0.0506,0.0253,0.0375,25.9,2024-09-13,Christine Gonzalez,2024-01-06 13:37:44
16,37,Cycle Time,0.0662,0.0331,0.0303,54.2,2024-01-04,Joseph Mejia,2024-03-06 19:24:44
17,29,Yield,0.0996,0.0498,0.0738,25.9,2024-04-23,Denise Moore,2024-02-18 10:47:00
18,37,Cycle Time,0.0892,0.0446,0.0723,18.9,2024-12-12,Tyler Castro,2024-12-03 18:42:17
19,93,Cost Reduction,0.0248,0.0124,0.0093,62.5,2024-04-01,Joshua Dunn,2024-11-07 05:42:46
20,5,MTBF,0.0628,0.0314,0.0515,18.0,2024-07-25,Tony Brock,2024-08-02 11:31:26
21,44,Cycle Time,0.0593,0.0296,0.0366,38.3,2024-11-17,Carolyn Collins,2024-06-10 03:58:20
22,63,Cycle Time,0.0341,0.017,0.0133,61.0,2024-02-13,Kimberly Williams,2024-10-19 19:47:13
23,50,Defect Rate,0.0707,0.0353,0.0232,67.2,2024-03-31,Steven Williams,2024-03-17 09:47:48
24,22,Defect Rate,0.0597,0.0299,0.0192,67.8,2024-05-01,Brandon Myers,2024-08-25 19:27:34
25,50,MTBF,0.0901,0.045,0.0279,69.0,2024-06-07,Stephanie Soto,2024-11-11 14:53:27
26,74,Cycle Time,0.0422,0.0211,0.0379,10.2,2024-10-13,Jill Kelly,2024-06-16 13:20:01
27,25,Cycle Time,0.0231,0.0115,0.0156,32.5,2024-01-04,Craig Chang,2024-12-18 19:18:18
28,39,Yield,0.0307,0.0154,0.0116,62.2,2024-12-14,Angela Livingston,2024-03-03 08:00:27
29,13,Defect Rate,0.0232,0.0116,0.0123,47.0,2024-09-19,Laura Davis,2024-06-11 23:54:04
30,16,MTBF,0.0847,0.0423,0.0282,66.7,2024-04-06,Melissa Davis,2024-05-10 00:03:58
31,36,Defect Rate,0.0848,0.0424,0.0703,17.1,2024-07-10,Matthew Miranda,2024-03-04 18:32:30
32,15,Cycle Time,0.0309,0.0155,0.0124,59.9,2024-12-09,Travis Thomas,2024-10-22 13:34:11
33,32,Cycle Time,0.0249,0.0124,0.0079,68.3,2024-04-09,Deanna Cox,2024-03-02 07:54:40
34,18,MTBF,0.0655,0.0328,0.0447,31.8,2024-06-10,Thomas Rivera,2024-03-02 10:18:29
35,41,Defect Rate,0.0985,0.0493,0.0588,40.3,2024-03-29,Erika Freeman,2024-02-21 09:47:10
36,11,Cost Reduction,0.0825,0.0413,0.0648,21.5,2024-02-17,Brian Mendoza,2024-12-19 03:04:21
37,44,Cycle Time,0.068,0.034,0.055,19.1,2024-12-15,Diane Bailey,2024-02-17 00:00:08
38,83,Yield,0.0463,0.0232,0.0272,41.3,2024-12-05,Katie Sullivan,2024-12-04 19:40:06
39,84,Cycle Time,0.0271,0.0135,0.0129,52.4,2024-11-21,Ashley Hawkins,2024-03-02 23:45:35
40,91,Defect Rate,0.0695,0.0348,0.0336,51.7,2024-11-15,Eric Murray,2024-08-27 22:04:41
41,63,Cost Reduction,0.0831,0.0415,0.0682,17.9,2024-05-03,Cynthia Sanchez,2024-12-06 03:51:47
42,97,Defect Rate,0.0676,0.0338,0.0469,30.6,2024-02-25,John Jones,2024-05-21 07:36:34
43,89,Cost Reduction,0.0785,0.0393,0.0619,21.1,2024-01-27,Michael Reynolds,2024-12-07 10:38:42
44,39,MTBF,0.0288,0.0144,0.0246,14.6,2024-09-24,Ms. Gloria Benson,2024-01-15 14:47:51
45,19,Defect Rate,0.041,0.0205,0.0209,49.0,2024-11-18,Michael Stevenson,2024-11-11 19:55:06
46,64,Cycle Time,0.0351,0.0175,0.0142,59.5,2024-08-09,Sara Wilson,2024-03-15 23:35:50
47,27,MTBF,0.0752,0.0376,0.048,36.2,2024-08-21,Erika Davis,2024-07-10 23:13:55
48,96,Yield,0.0784,0.0392,0.0295,62.4,2024-07-12,Eric Sullivan,2024-07-29 16:54:19
49,98,Cost Reduction,0.0695,0.0348,0.0248,64.3,2024-08-15,Melissa Carlson,2024-03-13 16:53:26
50,79,Yield,0.0854,0.0427,0.0745,12.8,2024-05-18,Erin Newman,2024-02-19 08:18:41
51,58,Cycle Time,0.0217,0.0109,0.0192,11.5,2024-06-13,Daniel Taylor,2024-05-07 23:36:55
52,81,MTBF,0.0798,0.0399,0.0388,51.4,2024-08-20,Nicole Pacheco,2024-08-22 07:11:44
53,71,MTBF,0.0213,0.0106,0.0135,36.6,2024-08-29,Mary Chavez,2024-08-11 04:13:02
54,8,Cycle Time,0.0659,0.033,0.057,13.5,2024-12-21,Luis West,2024-10-05 12:32:51
55,19,Cost Reduction,0.0431,0.0215,0.0199,53.8,2024-02-17,Shawn Evans,2024-07-18 18:55:40
56,8,Defect Rate,0.0725,0.0362,0.0357,50.8,2024-06-12,Meghan Sellers,2024-11-30 04:43:59
57,34,MTBF,0.0333,0.0167,0.0259,22.2,2024-02-28,Michelle Herman,2024-01-10 14:50:08
58,83,MTBF,0.0211,0.0106,0.0105,50.2,2024-10-05,Lauren Carr DDS,2024-12-27 15:58:43
59,61,Defect Rate,0.0639,0.0319,0.03,53.1,2024-06-23,Sarah Brown,2024-06-03 22:18:11
60,62,Cycle Time,0.0821,0.0411,0.058,29.4,2024-10-24,Tracy Smith,2024-03-28 14:34:16
61,32,Cycle Time,0.0651,0.0326,0.0232,64.4,2024-05-18,Veronica Rodriguez,2024-04-25 06:59:16
62,3,MTBF,0.0636,0.0318,0.0503,20.9,2024-11-22,Andre Reynolds,2024-08-01 21:53:41
63,26,Cycle Time,0.0563,0.0282,0.0341,39.4,2024-03-01,Lori Joseph,2024-12-30 06:25:08
64,65,Yield,0.0928,0.0464,0.0803,13.5,2024-12-18,Jeffrey Clark,2024-01-23 23:23:55
65,79,MTBF,0.0491,0.0245,0.0224,54.4,2024-01-05,Charles Peters,2024-05-12 09:18:02
66,46,Cost Reduction,0.0241,0.012,0.015,37.8,2024-07-01,Heather Butler,2024-07-05 02:52:31
67,33,Cycle Time,0.0667,0.0333,0.0389,41.7,2024-11-06,Shane Martinez,2024-01-18 09:08:31
68,91,Yield,0.0991,0.0495,0.0474,52.2,2024-12-26,Matthew Thomas,2024-03-12 00:38:12
69,47,Yield,0.0674,0.0337,0.0315,53.3,2024-11-04,Mary Proctor,2024-04-03 19:09:43
70,58,MTBF,0.0369,0.0185,0.0296,19.8,2024-05-25,Chad Shaffer,2024-05-30 09:49:34
71,66,Cycle Time,0.0927,0.0464,0.038,59.0,2024-03-13,Stephanie Dominguez,2024-11-21 20:52:24
72,59,Yield,0.0468,0.0234,0.0281,40.0,2024-03-20,Lisa Gibson,2024-11-03 14:56:23
73,36,MTBF,0.0793,0.0396,0.024,69.7,2024-06-13,Robert Cruz,2024-06-23 00:50:46
74,39,Cost Reduction,0.0654,0.0327,0.0507,22.5,2024-09-29,Jeff Smith,2024-12-11 13:49:45
75,56,Cycle Time,0.0768,0.0384,0.0261,66.0,2024-10-06,Dr. Michael Adams DVM,2024-03-27 18:25:54
76,93,Yield,0.0736,0.0368,0.0249,66.2,2024-10-15,Amanda Johnson,2024-06-27 03:43:27
77,65,MTBF,0.0331,0.0165,0.0123,62.8,2024-05-24,Mr. Kevin Nixon,2024-03-22 08:54:24
78,56,Cost Reduction,0.0987,0.0493,0.0866,12.3,2024-07-08,Nicholas Fox,2024-07-18 08:06:37
79,29,Defect Rate,0.0913,0.0457,0.0507,44.5,2024-01-25,Nicole Ramirez,2024-12-13 07:02:23
80,6,Defect Rate,0.0362,0.0181,0.0235,35.1,2024-06-27,Kelly Bishop,2024-05-31 00:27:44
81,47,Yield,0.0567,0.0284,0.0475,16.2,2024-07-25,Mark Alvarado,2024-05-26 03:20:27
82,94,Cost Reduction,0.0412,0.0206,0.022,46.6,2024-04-17,Melinda Ryan,2024-11-12 05:17:56
83,87,MTBF,0.0752,0.0376,0.0314,58.2,2024-07-15,Lisa Berger,2024-07-07 17:16:42
84,13,Cost Reduction,0.0896,0.0448,0.041,54.2,2024-03-03,Alexandra Gibson,2024-07-05 15:09:08
85,60,Cost Reduction,0.075,0.0375,0.0563,24.9,2024-06-07,Laura Rivera,2024-07-22 07:44:29
86,66,Cost Reduction,0.0395,0.0198,0.0203,48.6,2024-02-28,William Phillips,2024-02-29 03:04:00
87,53,Cost Reduction,0.0245,0.0123,0.0157,35.9,2024-10-19,Michael Harper,2024-11-02 08:12:33
88,36,MTBF,0.0693,0.0347,0.0611,11.8,2024-11-25,Richard Green,2024-03-20 08:15:00
89,77,Cycle Time,0.0449,0.0225,0.0189,57.9,2024-09-14,Laura Berry,2024-02-12 12:32:55
