failure_id,equipment_id,failure_date,failure_type,failure_mode,severity_level,downtime_hours,repair_cost,parts_replaced,technician_assigned,failure_description,root_cause_analysis,preventive_action,mtbf_impact,created_at
1,62,2024-09-29 21:41:03,Electrical,Calibration Drift,Critical,13.52,13516.65,Motor,Tech-C,Equipment failure requiring 13.5h repair,Improper maintenance,Increase inspection frequency,20.4,2024-09-29 21:41:03
2,38,2024-10-03 21:38:35,Software,Sensor Malfunction,Minor,10.13,7722.82,Sensor,Tech-E,Equipment failure requiring 10.1h repair,Manufacturing defect,Update maintenance schedule,11.9,2024-10-03 21:38:35
3,48,2024-12-09 22:23:38,Hydraulic,Sensor Malfunction,Minor,17.52,22815.55,Sensor,Tech-D,Equipment failure requiring 17.5h repair,Overload condition,Process adjustment,-15.1,2024-12-09 22:23:38
4,15,2024-09-23 04:36:09,Pneumatic,Bearing Wear,Critical,22.72,4014.75,Belt,Tech-E,Equipment failure requiring 22.7h repair,Environmental stress,Process adjustment,10.9,2024-09-23 04:36:09
5,18,2024-12-05 22:58:52,Software,Electrical Short,Minor,20.21,5094.52,Controller,Tech-D,Equipment failure requiring 20.2h repair,Wear and tear,Operator training,-48.6,2024-12-05 22:58:52
6,34,2024-06-17 21:08:20,Software,Motor Burnout,Major,12.93,19972.72,Motor,Tech-D,Equipment failure requiring 12.9h repair,Environmental stress,Replace aging components,2.3,2024-06-17 21:08:20
7,24,2024-07-19 19:03:19,Electrical,Bearing Wear,Critical,2.96,13440.0,Sensor,Tech-D,Equipment failure requiring 3.0h repair,Manufacturing defect,Increase inspection frequency,27.5,2024-07-19 19:03:19
8,63,2024-10-22 08:56:52,Pneumatic,Motor Burnout,Major,14.83,23658.87,Sensor,Tech-E,Equipment failure requiring 14.8h repair,Wear and tear,Increase inspection frequency,23.8,2024-10-22 08:56:52
9,22,2024-11-12 23:54:33,Mechanical,Vibration Damage,Major,22.05,14638.76,Sensor,Tech-C,Equipment failure requiring 22.1h repair,Improper maintenance,Process adjustment,36.1,2024-11-12 23:54:33
10,48,2024-08-04 21:18:23,Mechanical,Controller Failure,Minor,5.38,12862.52,Bearing,Tech-D,Equipment failure requiring 5.4h repair,Under investigation,Increase inspection frequency,26.9,2024-08-04 21:18:23
11,51,2024-12-08 11:35:35,Mechanical,Motor Burnout,Critical,5.09,14604.0,Controller,Tech-A,Equipment failure requiring 5.1h repair,Wear and tear,Replace aging components,45.9,2024-12-08 11:35:35
12,61,2024-09-29 04:34:29,Software,Sensor Malfunction,Minor,20.54,21720.42,Sensor,Tech-A,Equipment failure requiring 20.5h repair,Improper maintenance,Operator training,-45.8,2024-09-29 04:34:29
13,13,2024-01-31 19:20:14,Pneumatic,Motor Burnout,Critical,8.21,7443.47,Bearing,Tech-B,Equipment failure requiring 8.2h repair,Overload condition,Replace aging components,21.5,2024-01-31 19:20:14
14,44,2024-04-15 14:34:49,Pneumatic,Vibration Damage,Critical,2.14,9788.31,Belt,Tech-B,Equipment failure requiring 2.1h repair,Environmental stress,Increase inspection frequency,-28.3,2024-04-15 14:34:49
15,52,2024-06-27 18:33:21,Pneumatic,Hydraulic Leak,Critical,17.43,9154.13,Controller,Tech-A,Equipment failure requiring 17.4h repair,Under investigation,Increase inspection frequency,12.7,2024-06-27 18:33:21
16,56,2024-10-05 11:42:53,Mechanical,Controller Failure,Minor,23.42,23912.85,Belt,Tech-B,Equipment failure requiring 23.4h repair,Wear and tear,Update maintenance schedule,36.1,2024-10-05 11:42:53
17,24,2024-07-11 08:42:59,Software,Controller Failure,Critical,14.24,2980.92,Sensor,Tech-B,Equipment failure requiring 14.2h repair,Environmental stress,Process adjustment,-45.7,2024-07-11 08:42:59
18,61,2024-03-09 18:29:52,Hydraulic,Sensor Malfunction,Major,21.91,1190.24,Motor,Tech-E,Equipment failure requiring 21.9h repair,Manufacturing defect,Operator training,49.7,2024-03-09 18:29:52
19,44,2024-11-28 13:46:12,Electrical,Belt Snap,Critical,10.13,13270.38,Belt,Tech-C,Equipment failure requiring 10.1h repair,Overload condition,Increase inspection frequency,31.7,2024-11-28 13:46:12
