ncm_id,incident_date,product_line,supplier_id,material_type,defect_description,quantity_affected,severity,root_cause,cost_impact,status,created_date
1,2024-01-01,Precision Bearings,8,Inconel 718,Lot traceability documentation incomplete,20,Minor,Raw material batch variation,1711.19,Closed,2024-01-01 00:00:00
2,2024-01-01,Hydraulic Actuators,1,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,142,Major,Documentation error,5255.32,Under Review,2024-01-01 00:00:00
3,2024-01-02,Engine Mounts,3,Copper C110,Surface contamination detected - oil residue on raw stock,393,Critical,Documentation error,48663.35,Closed,2024-01-02 00:00:00
4,2024-01-02,Hydraulic Actuators,2,Inconel 718,Surface contamination detected - oil residue on raw stock,396,Critical,Storage condition failure,33081.4,Closed,2024-01-02 00:00:00
5,2024-01-03,Precision Bearings,6,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,10,Minor,Supplier change notification missed,1606.29,Closed,2024-01-03 00:00:00
6,2024-01-03,Sensor Assemblies,3,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,91,Major,Documentation error,2728.21,Closed,2024-01-03 00:00:00
7,2024-01-06,Precision Bearings,4,Stainless Steel 304L,Lot traceability documentation incomplete,130,Major,Raw material batch variation,5040.38,Closed,2024-01-06 00:00:00
8,2024-01-06,Turbine Blades,6,Ceramic Matrix Composite,Material hardness below specification - failed Rockwell test,369,Critical,Incoming inspection escape,44241.8,Under Review,2024-01-06 00:00:00
9,2024-01-08,Composite Panels,7,Copper C110,Incoming inspection failed - visual defects on surface,188,Critical,Supplier change notification missed,36287.97,Closed,2024-01-08 00:00:00
10,2024-01-09,Hydraulic Actuators,6,Stainless Steel 304L,Chemical composition out of spec - carbon content high,161,Major,Raw material batch variation,7472.05,Under Review,2024-01-09 00:00:00
11,2024-01-10,Sensor Assemblies,2,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,6,Minor,Raw material batch variation,1802.06,Closed,2024-01-10 00:00:00
12,2024-01-10,Sensor Assemblies,3,Aluminum 7075-T6,Surface contamination detected - oil residue on raw stock,460,Critical,Supplier process deviation,11930.28,Pending Disposition,2024-01-10 00:00:00
13,2024-01-12,Landing Gear,6,Copper C110,Surface contamination detected - oil residue on raw stock,496,Critical,Raw material batch variation,31223.97,Closed,2024-01-12 00:00:00
14,2024-01-12,Hydraulic Actuators,1,Aluminum 7075-T6,Material hardness below specification - failed Rockwell test,91,Critical,Supplier change notification missed,46310.1,Pending Disposition,2024-01-12 00:00:00
15,2024-01-16,Composite Panels,2,Carbon Fiber Composite,Lot traceability documentation incomplete,69,Major,Transportation damage,6629.07,Closed,2024-01-16 00:00:00
16,2024-01-16,Precision Bearings,8,Tool Steel D2,Material hardness below specification - failed Rockwell test,8,Minor,Raw material batch variation,1384.7,Closed,2024-01-16 00:00:00
17,2024-01-19,Control Valves,3,Copper C110,Grain structure anomaly - improper heat treatment by supplier,9,Minor,Transportation damage,335.62,Under Review,2024-01-19 00:00:00
18,2024-01-20,Composite Panels,5,Copper C110,Grain structure anomaly - improper heat treatment by supplier,18,Minor,Supplier process deviation,1317.13,Closed,2024-01-20 00:00:00
19,2024-01-20,Precision Bearings,5,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,82,Critical,Supplier change notification missed,7909.4,Closed,2024-01-20 00:00:00
20,2024-01-22,Turbine Blades,8,Copper C110,Storage damage - corrosion from improper handling,25,Minor,Raw material batch variation,1381.55,Closed,2024-01-22 00:00:00
21,2024-01-22,Sensor Assemblies,5,Stainless Steel 304L,Lot traceability documentation incomplete,142,Major,Documentation error,4223.01,Closed,2024-01-22 00:00:00
22,2024-01-23,Control Valves,4,Magnesium AZ31B,Lot traceability documentation incomplete,49,Minor,Documentation error,424.05,Closed,2024-01-23 00:00:00
23,2024-01-23,Engine Mounts,7,Nickel Superalloy,Certificate of Conformance missing required test data,56,Major,Supplier process deviation,5069.59,Closed,2024-01-23 00:00:00
24,2024-01-25,Hydraulic Actuators,7,Inconel 718,Dimensional variance exceeds tolerance - undersized bar stock,131,Major,Transportation damage,4291.39,Closed,2024-01-25 00:00:00
25,2024-01-29,Hydraulic Actuators,8,Inconel 718,Chemical composition out of spec - carbon content high,25,Major,Incoming inspection escape,4035.84,Closed,2024-01-29 00:00:00
26,2024-02-01,Composite Panels,8,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,60,Major,Raw material batch variation,9525.98,Closed,2024-02-01 00:00:00
27,2024-02-03,Precision Bearings,8,Nickel Superalloy,Lot traceability documentation incomplete,303,Critical,Supplier process deviation,15581.86,Closed,2024-02-03 00:00:00
28,2024-02-04,Sensor Assemblies,3,Aluminum 7075-T6,Storage damage - corrosion from improper handling,44,Minor,Transportation damage,690.16,Closed,2024-02-04 00:00:00
29,2024-02-05,Sensor Assemblies,5,Copper C110,Storage damage - corrosion from improper handling,49,Minor,Specification interpretation error,809.37,Closed,2024-02-05 00:00:00
30,2024-02-05,Turbine Blades,2,Copper C110,Grain structure anomaly - improper heat treatment by supplier,83,Major,Documentation error,4330.08,Pending Disposition,2024-02-05 00:00:00
31,2024-02-06,Sensor Assemblies,5,Inconel 718,Incoming inspection failed - visual defects on surface,49,Minor,Storage condition failure,1608.25,Pending Disposition,2024-02-06 00:00:00
32,2024-02-07,Control Valves,4,Aluminum 7075-T6,Certificate of Conformance missing required test data,24,Major,Transportation damage,6069.68,Closed,2024-02-07 00:00:00
33,2024-02-07,Landing Gear,6,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,43,Minor,Specification interpretation error,1032.79,Closed,2024-02-07 00:00:00
34,2024-02-08,Precision Bearings,4,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,8,Minor,Documentation error,371.86,Closed,2024-02-08 00:00:00
35,2024-02-09,Hydraulic Actuators,8,Ceramic Matrix Composite,Material substitution without engineering approval,144,Major,Storage condition failure,9610.01,Closed,2024-02-09 00:00:00
36,2024-02-10,Landing Gear,4,Tool Steel D2,Chemical composition out of spec - carbon content high,69,Major,Storage condition failure,7600.78,Closed,2024-02-10 00:00:00
37,2024-02-10,Composite Panels,7,Carbon Fiber Composite,Dimensional variance exceeds tolerance - undersized bar stock,5,Minor,Incoming inspection escape,1655.31,Closed,2024-02-10 00:00:00
38,2024-02-13,Landing Gear,7,Nickel Superalloy,Material substitution without engineering approval,57,Major,Transportation damage,5184.46,Closed,2024-02-13 00:00:00
39,2024-02-13,Sensor Assemblies,8,Ceramic Matrix Composite,Lot traceability documentation incomplete,283,Critical,Incoming inspection escape,47160.63,Closed,2024-02-13 00:00:00
40,2024-02-15,Sensor Assemblies,3,Magnesium AZ31B,Incoming inspection failed - visual defects on surface,494,Critical,Transportation damage,10576.17,Closed,2024-02-15 00:00:00
41,2024-02-15,Composite Panels,6,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,32,Minor,Documentation error,148.38,Closed,2024-02-15 00:00:00
42,2024-02-16,Precision Bearings,1,Tool Steel D2,Material hardness below specification - failed Rockwell test,165,Major,Transportation damage,6090.55,Under Review,2024-02-16 00:00:00
43,2024-02-16,Landing Gear,2,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,317,Critical,Documentation error,11820.65,Under Review,2024-02-16 00:00:00
44,2024-02-17,Composite Panels,2,Titanium Alloy Ti-6Al-4V,Material substitution without engineering approval,146,Major,Supplier change notification missed,7757.66,Closed,2024-02-17 00:00:00
45,2024-02-18,Hydraulic Actuators,7,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,18,Minor,Storage condition failure,1663.41,Closed,2024-02-18 00:00:00
46,2024-02-18,Turbine Blades,4,Carbon Fiber Composite,Lot traceability documentation incomplete,6,Minor,Supplier process deviation,1398.69,Open,2024-02-18 00:00:00
47,2024-02-23,Sensor Assemblies,6,Tool Steel D2,Chemical composition out of spec - carbon content high,191,Major,Specification interpretation error,7803.67,Closed,2024-02-23 00:00:00
48,2024-02-23,Composite Panels,1,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,17,Minor,Specification interpretation error,229.13,Closed,2024-02-23 00:00:00
49,2024-02-25,Sensor Assemblies,2,Inconel 718,Material substitution without engineering approval,15,Minor,Supplier process deviation,1807.3,Closed,2024-02-25 00:00:00
50,2024-02-26,Precision Bearings,5,Carbon Fiber Composite,Storage damage - corrosion from improper handling,29,Minor,Incoming inspection escape,811.17,Under Review,2024-02-26 00:00:00
51,2024-02-26,Sensor Assemblies,4,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,186,Major,Supplier change notification missed,4533.69,Closed,2024-02-26 00:00:00
52,2024-03-02,Control Valves,2,Carbon Fiber Composite,Storage damage - corrosion from improper handling,426,Critical,Incoming inspection escape,39189.17,Closed,2024-03-02 00:00:00
53,2024-03-03,Turbine Blades,8,Stainless Steel 304L,Grain structure anomaly - improper heat treatment by supplier,41,Minor,Supplier process deviation,1289.62,Closed,2024-03-03 00:00:00
54,2024-03-04,Control Valves,1,Nickel Superalloy,Incoming inspection failed - visual defects on surface,155,Critical,Specification interpretation error,43716.11,Closed,2024-03-04 00:00:00
55,2024-03-05,Engine Mounts,3,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,93,Major,Raw material batch variation,6047.47,Closed,2024-03-05 00:00:00
56,2024-03-08,Turbine Blades,1,Ceramic Matrix Composite,Dimensional variance exceeds tolerance - undersized bar stock,97,Major,Raw material batch variation,9371.43,Closed,2024-03-08 00:00:00
57,2024-03-08,Sensor Assemblies,1,Copper C110,Surface contamination detected - oil residue on raw stock,266,Critical,Incoming inspection escape,34059.75,Closed,2024-03-08 00:00:00
58,2024-03-09,Precision Bearings,1,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,204,Critical,Raw material batch variation,45433.48,Pending Disposition,2024-03-09 00:00:00
59,2024-03-10,Engine Mounts,1,Magnesium AZ31B,Storage damage - corrosion from improper handling,94,Critical,Incoming inspection escape,5645.48,Closed,2024-03-10 00:00:00
60,2024-03-10,Turbine Blades,5,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,9,Minor,Raw material batch variation,1170.14,Closed,2024-03-10 00:00:00
61,2024-03-11,Turbine Blades,7,Inconel 718,Material hardness below specification - failed Rockwell test,475,Critical,Supplier process deviation,27384.05,Closed,2024-03-11 00:00:00
62,2024-03-12,Precision Bearings,2,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,35,Minor,Incoming inspection escape,634.98,Open,2024-03-12 00:00:00
63,2024-03-12,Engine Mounts,4,Nickel Superalloy,Material substitution without engineering approval,72,Critical,Specification interpretation error,49812.69,Closed,2024-03-12 00:00:00
64,2024-03-14,Precision Bearings,1,Magnesium AZ31B,Material substitution without engineering approval,114,Major,Transportation damage,1795.74,Closed,2024-03-14 00:00:00
65,2024-03-14,Sensor Assemblies,6,Copper C110,Certificate of Conformance missing required test data,14,Minor,Transportation damage,1146.95,Closed,2024-03-14 00:00:00
