quality_id,line_id,measurement_date,total_produced,passed_inspection,failed_inspection,first_pass_yield,rework_count,scrap_count,created_date
1,1,2024-01-01,862,809,53,93.85,30,20,2024-01-01 00:00:00
2,2,2024-01-01,749,696,53,92.92,3,22,2024-01-01 00:00:00
3,3,2024-01-01,199,184,15,92.46,1,4,2024-01-01 00:00:00
4,4,2024-01-01,101,97,4,96.04,4,1,2024-01-01 00:00:00
5,5,2024-01-01,352,343,9,97.44,8,1,2024-01-01 00:00:00
6,6,2024-01-01,503,463,40,92.05,5,20,2024-01-01 00:00:00
7,7,2024-01-01,659,628,31,95.3,30,11,2024-01-01 00:00:00
8,8,2024-01-01,759,710,49,93.54,47,9,2024-01-01 00:00:00
9,9,2024-01-01,245,227,18,92.65,6,9,2024-01-01 00:00:00
10,10,2024-01-01,331,327,4,98.79,1,0,2024-01-01 00:00:00
11,11,2024-01-01,370,343,27,92.7,24,7,2024-01-01 00:00:00
12,12,2024-01-01,588,560,28,95.24,5,7,2024-01-01 00:00:00
13,13,2024-01-01,567,532,35,93.83,28,10,2024-01-01 00:00:00
14,14,2024-01-01,149,138,11,92.62,1,5,2024-01-01 00:00:00
15,15,2024-01-01,923,885,38,95.88,22,5,2024-01-01 00:00:00
16,16,2024-01-01,195,180,15,92.31,9,4,2024-01-01 00:00:00
17,17,2024-01-01,542,539,3,99.45,1,1,2024-01-01 00:00:00
18,18,2024-01-01,294,282,12,95.92,9,6,2024-01-01 00:00:00
19,19,2024-01-01,505,491,14,97.23,8,7,2024-01-01 00:00:00
20,20,2024-01-01,655,643,12,98.17,4,1,2024-01-01 00:00:00
21,1,2024-01-02,930,910,20,97.85,9,7,2024-01-02 00:00:00
22,2,2024-01-02,439,433,6,98.63,5,1,2024-01-02 00:00:00
23,3,2024-01-02,477,462,15,96.86,9,7,2024-01-02 00:00:00
24,4,2024-01-02,870,831,39,95.52,24,18,2024-01-02 00:00:00
25,5,2024-01-02,818,810,8,99.02,3,4,2024-01-02 00:00:00
26,6,2024-01-02,281,269,12,95.73,3,1,2024-01-02 00:00:00
27,7,2024-01-02,760,735,25,96.71,4,5,2024-01-02 00:00:00
28,8,2024-01-02,417,396,21,94.96,13,10,2024-01-02 00:00:00
29,9,2024-01-02,820,794,26,96.83,18,4,2024-01-02 00:00:00
30,10,2024-01-02,521,508,13,97.5,7,5,2024-01-02 00:00:00
31,11,2024-01-02,563,540,23,95.91,2,8,2024-01-02 00:00:00
32,12,2024-01-02,879,846,33,96.25,27,6,2024-01-02 00:00:00
33,13,2024-01-02,834,793,41,95.08,5,7,2024-01-02 00:00:00
34,14,2024-01-02,990,953,37,96.26,18,10,2024-01-02 00:00:00
35,15,2024-01-02,904,871,33,96.35,4,3,2024-01-02 00:00:00
36,16,2024-01-02,829,797,32,96.14,28,5,2024-01-02 00:00:00
37,17,2024-01-02,335,332,3,99.1,2,0,2024-01-02 00:00:00
38,18,2024-01-02,189,182,7,96.3,7,1,2024-01-02 00:00:00
39,19,2024-01-02,606,579,27,95.54,13,2,2024-01-02 00:00:00
40,20,2024-01-02,510,495,15,97.06,12,5,2024-01-02 00:00:00
41,1,2024-01-03,399,389,10,97.49,9,4,2024-01-03 00:00:00
42,2,2024-01-03,998,955,43,95.69,29,18,2024-01-03 00:00:00
43,3,2024-01-03,187,181,6,96.79,4,1,2024-01-03 00:00:00
44,4,2024-01-03,929,914,15,98.39,4,0,2024-01-03 00:00:00
45,5,2024-01-03,145,139,6,95.86,5,0,2024-01-03 00:00:00
46,6,2024-01-03,123,120,3,97.56,0,1,2024-01-03 00:00:00
47,7,2024-01-03,282,270,12,95.74,6,5,2024-01-03 00:00:00
48,8,2024-01-03,526,507,19,96.39,12,2,2024-01-03 00:00:00
49,9,2024-01-03,427,395,32,92.51,31,10,2024-01-03 00:00:00
50,10,2024-01-03,700,661,39,94.43,16,18,2024-01-03 00:00:00
51,11,2024-01-03,885,864,21,97.63,1,9,2024-01-03 00:00:00
52,12,2024-01-03,816,775,41,94.98,6,20,2024-01-03 00:00:00
53,13,2024-01-03,814,796,18,97.79,0,8,2024-01-03 00:00:00
54,14,2024-01-03,108,99,9,91.67,4,2,2024-01-03 00:00:00
55,15,2024-01-03,627,609,18,97.13,5,4,2024-01-03 00:00:00
56,16,2024-01-03,260,252,8,96.92,7,2,2024-01-03 00:00:00
57,17,2024-01-03,997,990,7,99.3,6,3,2024-01-03 00:00:00
