schedule_id,line_id,product_id,scheduled_date,shift,planned_quantity,actual_quantity,completion_rate,status,created_date
1,6,19,2024-01-01,Swing,360,363,100.8,Completed,2024-01-01 00:00:00
2,13,8,2024-01-01,Day,281,282,100.4,Completed,2024-01-01 00:00:00
3,5,29,2024-01-01,Swing,115,103,89.6,Completed,2024-01-01 00:00:00
4,15,58,2024-01-01,Day,240,222,92.5,Completed,2024-01-01 00:00:00
5,12,67,2024-01-01,Night,234,202,86.3,Completed,2024-01-01 00:00:00
6,17,81,2024-01-01,Day,472,425,90.0,Delayed,2024-01-01 00:00:00
7,14,52,2024-01-01,Swing,56,51,91.1,Completed,2024-01-01 00:00:00
8,6,28,2024-01-02,Night,327,330,100.9,Completed,2024-01-02 00:00:00
9,10,99,2024-01-02,Swing,299,285,95.3,Scheduled,2024-01-02 00:00:00
10,19,72,2024-01-02,Swing,375,364,97.1,Completed,2024-01-02 00:00:00
11,5,61,2024-01-02,Swing,263,227,86.3,Delayed,2024-01-02 00:00:00
12,10,39,2024-01-02,Swing,215,218,101.4,Completed,2024-01-02 00:00:00
13,9,89,2024-01-02,Night,57,50,87.7,Completed,2024-01-02 00:00:00
14,13,25,2024-01-02,Night,178,170,95.5,Completed,2024-01-02 00:00:00
15,8,60,2024-01-02,Day,175,179,102.3,In Progress,2024-01-02 00:00:00
16,3,15,2024-01-03,Night,71,63,88.7,Completed,2024-01-03 00:00:00
17,13,81,2024-01-03,Night,406,357,87.9,Completed,2024-01-03 00:00:00
18,20,98,2024-01-03,Day,184,185,100.5,Delayed,2024-01-03 00:00:00
19,3,4,2024-01-03,Swing,259,220,84.9,Scheduled,2024-01-03 00:00:00
20,17,73,2024-01-03,Night,450,453,100.7,Completed,2024-01-03 00:00:00
21,20,17,2024-01-04,Night,467,451,96.6,In Progress,2024-01-04 00:00:00
22,20,19,2024-01-04,Swing,483,502,103.9,Scheduled,2024-01-04 00:00:00
23,7,38,2024-01-04,Day,259,249,96.1,Completed,2024-01-04 00:00:00
24,3,26,2024-01-05,Day,184,159,86.4,Delayed,2024-01-05 00:00:00
25,18,82,2024-01-05,Day,103,89,86.4,In Progress,2024-01-05 00:00:00
26,11,11,2024-01-05,Night,54,56,103.7,Completed,2024-01-05 00:00:00
27,4,57,2024-01-05,Night,130,118,90.8,Completed,2024-01-05 00:00:00
28,17,47,2024-01-06,Swing,209,196,93.8,Completed,2024-01-06 00:00:00
29,2,50,2024-01-06,Swing,343,342,99.7,Completed,2024-01-06 00:00:00
30,17,59,2024-01-06,Night,201,197,98.0,Completed,2024-01-06 00:00:00
31,4,34,2024-01-06,Swing,85,72,84.7,Scheduled,2024-01-06 00:00:00
32,5,98,2024-01-06,Day,189,172,91.0,Scheduled,2024-01-06 00:00:00
33,20,35,2024-01-07,Day,388,405,104.4,Scheduled,2024-01-07 00:00:00
34,8,28,2024-01-07,Swing,421,380,90.3,In Progress,2024-01-07 00:00:00
35,19,79,2024-01-07,Night,182,177,97.3,Scheduled,2024-01-07 00:00:00
36,8,32,2024-01-07,Night,51,49,96.1,Completed,2024-01-07 00:00:00
37,20,37,2024-01-07,Day,412,369,89.6,Completed,2024-01-07 00:00:00
38,3,1,2024-01-08,Swing,257,267,103.9,Completed,2024-01-08 00:00:00
39,15,45,2024-01-08,Day,164,144,87.8,Completed,2024-01-08 00:00:00
40,2,45,2024-01-08,Swing,409,400,97.8,Scheduled,2024-01-08 00:00:00
41,2,11,2024-01-08,Day,173,150,86.7,Delayed,2024-01-08 00:00:00
