incident_id,product_line,incident_date,incident_type,severity_level,affected_units,cost_impact,detection_method,status,assigned_to,resolution_date,root_cause,created_at
1,Sensor Assemblies,2024-12-21,Material NCM,Major,141,37368.8,CMM,Closed,Process Engineer,2024-12-21,Documentation error,2024-12-21 08:00:00
2,Composite Panels,2024-12-09,Equipment Issue,Major,140,352.05,CMM,Closed,QA Lead,2024-12-09,Training gap,2024-12-09 08:00:00
3,Precision Bearings,2024-12-02,Specification Change,Minor,163,4947.67,CMM,Open,Process Engineer,,Process parameter drift,2024-12-02 08:00:00
4,Precision Bearings,2024-02-02,Specification Change,Major,302,21096.16,Audit,Closed,Process Engineer,2024-02-02,Documentation error,2024-02-02 08:00:00
5,Turbine Blades,2024-07-18,Customer Complaint,Major,422,22274.71,Customer Report,Closed,Supervisor,2024-07-18,Process parameter drift,2024-07-18 08:00:00
6,Composite Panels,2024-09-29,Process Deviation,Minor,437,28608.53,Visual Inspection,In Progress,Process Engineer,,Material variance,2024-09-29 08:00:00
7,Sensor Assemblies,2024-04-16,Customer Complaint,Major,346,23422.27,CMM,Closed,Quality Engineer,2024-04-16,Documentation error,2024-04-16 08:00:00
8,Composite Panels,2024-06-29,Process Deviation,Major,285,37228.2,CMM,Closed,Supervisor,2024-06-29,Documentation error,2024-06-29 08:00:00
9,Landing Gear,2024-03-08,Material NCM,Critical,57,28580.18,CMM,Open,Supervisor,,Documentation error,2024-03-08 08:00:00
10,Control Valves,2024-07-28,Specification Change,Major,164,38547.93,Visual Inspection,Closed,Process Engineer,2024-07-28,Documentation error,2024-07-28 08:00:00
11,Composite Panels,2024-10-01,Audit Finding,Major,388,23249.31,Customer Report,Open,Quality Engineer,,Training gap,2024-10-01 08:00:00
12,Sensor Assemblies,2024-05-27,Equipment Issue,Critical,350,45373.32,Customer Report,Closed,Supervisor,2024-05-27,Training gap,2024-05-27 08:00:00
13,Turbine Blades,2024-07-29,Material NCM,Minor,318,25217.73,Visual Inspection,Closed,Supervisor,2024-07-29,Material variance,2024-07-29 08:00:00
14,Control Valves,2024-06-15,Equipment Issue,Major,351,4639.23,Automated Scanner,Open,Supervisor,,Documentation error,2024-06-15 08:00:00
15,Hydraulic Actuators,2024-09-18,Equipment Issue,Critical,90,23661.23,CMM,Closed,Process Engineer,2024-09-18,Process parameter drift,2024-09-18 08:00:00
16,Turbine Blades,2024-05-30,Audit Finding,Major,126,34215.19,Customer Report,Open,Quality Engineer,,Training gap,2024-05-30 08:00:00
17,Landing Gear,2024-09-13,Customer Complaint,Critical,126,23164.39,Visual Inspection,Closed,QA Lead,2024-09-13,Under investigation,2024-09-13 08:00:00
18,Engine Mounts,2024-01-17,Process Deviation,Major,491,13075.46,Audit,Closed,QA Lead,2024-01-17,Under investigation,2024-01-17 08:00:00
19,Turbine Blades,2024-11-06,Equipment Issue,Critical,150,40601.95,Visual Inspection,Closed,Process Engineer,2024-11-06,Training gap,2024-11-06 08:00:00
20,Engine Mounts,2024-09-18,Process Deviation,Critical,75,42368.81,Audit,Closed,QA Lead,2024-09-18,Under investigation,2024-09-18 08:00:00
21,Composite Panels,2024-03-27,Material NCM,Critical,408,24181.29,Automated Scanner,Closed,QA Lead,2024-03-27,Tool wear,2024-03-27 08:00:00
22,Engine Mounts,2024-11-24,Audit Finding,Critical,388,13073.98,Automated Scanner,Closed,Supervisor,2024-11-24,Tool wear,2024-11-24 08:00:00
23,Precision Bearings,2024-08-18,Material NCM,Critical,268,14492.68,CMM,Closed,Process Engineer,2024-08-18,Documentation error,2024-08-18 08:00:00
24,Precision Bearings,2024-07-04,Material NCM,Minor,325,15306.59,Customer Report,Closed,Process Engineer,2024-07-04,Process parameter drift,2024-07-04 08:00:00
25,Hydraulic Actuators,2024-12-21,Audit Finding,Major,327,11473.11,CMM,Closed,Process Engineer,2024-12-21,Process parameter drift,2024-12-21 08:00:00
