_key,_id,_from,_to,edge_family,edge_type,field_component,join_type,origin,perspective,priority_weight,references_column,references_table,unique_id,variable_name,weight
EMPLOYEE:active:structural:system:has_column:SYS_HAS_EMP_ACT_001,manufacturing_graph_edge/EMPLOYEE:active:structural:system:has_column:SYS_HAS_EMP_ACT_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:active:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_ACT_001,,
EMPLOYEE:buyer_code:structural:system:has_column:SYS_HAS_EMP_BUY_001,manufacturing_graph_edge/EMPLOYEE:buyer_code:structural:system:has_column:SYS_HAS_EMP_BUY_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:buyer_code:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_BUY_001,,
EMPLOYEE:created_at:structural:system:has_column:SYS_HAS_EMP_CRE_001,manufacturing_graph_edge/EMPLOYEE:created_at:structural:system:has_column:SYS_HAS_EMP_CRE_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:created_at:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_CRE_001,,
EMPLOYEE:department:structural:system:has_column:SYS_HAS_EMP_DEP_001,manufacturing_graph_edge/EMPLOYEE:department:structural:system:has_column:SYS_HAS_EMP_DEP_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:department:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_DEP_001,,
EMPLOYEE:employee_id:structural:system:has_column:SYS_HAS_EMP_EMP_001,manufacturing_graph_edge/EMPLOYEE:employee_id:structural:system:has_column:SYS_HAS_EMP_EMP_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_EMP_001,,
EMPLOYEE:employee_name:structural:system:has_column:SYS_HAS_EMP_EMP_002,manufacturing_graph_edge/EMPLOYEE:employee_name:structural:system:has_column:SYS_HAS_EMP_EMP_002,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_name:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_EMP_002,,
EMPLOYEE:hire_date:structural:system:has_column:SYS_HAS_EMP_HIR_001,manufacturing_graph_edge/EMPLOYEE:hire_date:structural:system:has_column:SYS_HAS_EMP_HIR_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hire_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_HIR_001,,
EMPLOYEE:home_resource_id:structural:system:has_column:SYS_HAS_EMP_HOM_001,manufacturing_graph_edge/EMPLOYEE:home_resource_id:structural:system:has_column:SYS_HAS_EMP_HOM_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:home_resource_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_HOM_001,,
EMPLOYEE:hourly_rate:structural:system:has_column:SYS_HAS_EMP_HOU_001,manufacturing_graph_edge/EMPLOYEE:hourly_rate:structural:system:has_column:SYS_HAS_EMP_HOU_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hourly_rate:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_HOU_001,,
EMPLOYEE:job_title:structural:system:has_column:SYS_HAS_EMP_JOB_001,manufacturing_graph_edge/EMPLOYEE:job_title:structural:system:has_column:SYS_HAS_EMP_JOB_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:job_title:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_EMP_JOB_001,,
certification:cert_id:structural:system:has_column:SYS_HAS_CER_CER_001,manufacturing_graph_edge/certification:cert_id:structural:system:has_column:SYS_HAS_CER_CER_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:cert_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_CER_001,,
certification:cert_type:semantic:Quality:resolves_to:QUA_RES_CER_CER_05CBF600,manufacturing_graph_edge/certification:cert_type:semantic:Quality:resolves_to:QUA_RES_CER_CER_05CBF600,manufacturing_graph_node/certification:cert_type:structural:system:none:none,manufacturing_graph_node/CertificationType:entity:semantic:canonical:none:none,semantic,resolves_to,1,,,Quality,3,,,QUA_RES_CER_CER_05CBF600,,1
certification:cert_type:structural:system:has_column:SYS_HAS_CER_CER_002,manufacturing_graph_edge/certification:cert_type:structural:system:has_column:SYS_HAS_CER_CER_002,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:cert_type:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_CER_002,,
certification:created_at:structural:system:has_column:SYS_HAS_CER_CRE_001,manufacturing_graph_edge/certification:created_at:structural:system:has_column:SYS_HAS_CER_CRE_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:created_at:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_CRE_001,,
certification:expiry_date:structural:system:has_column:SYS_HAS_CER_EXP_001,manufacturing_graph_edge/certification:expiry_date:structural:system:has_column:SYS_HAS_CER_EXP_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:expiry_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_EXP_001,,
